Gene,DifferentiatingProgenitors_44hpf,DorsalProgenitors_24hpf,Epidermis,FloorPlate,GlialCells,HeadMesenchymeAndEpidermis,HindbrainNeurons,ImmatureNeurons,Mesendoderm_16hpf_24hpf,NeuralCrest_16hpf,NeuralCrest_24hpf_44hpf,OticAndCranialGanglia,OticVesicle,PharyngealArches,Progenitors_16hpf,Vasculature,VMP_24hpf
CR387996.1,0.003424658,0.008143322,0.009345794,0,0.001960784,0.002941176,0.001636661,0.001367989,0.008988764,0.006880734,0.004149378,0.009615385,0.0125,0.020408163,0.005698006,0,0.00148368
zgc:153968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcap,0.001141553,0.001628664,0,0,0,0,0.01309329,0,0.006741573,0.002293578,0.006224066,0.041666667,0,0,0,0,0
syngr1a,0,0.001628664,0,0,0,0,0.011456628,0.001367989,0,0,0,0.003205128,0,0.010204082,0,0,0.00148368
fam171a2a,0.030821918,0.133550489,0.037383178,0.147540984,0.071568627,0.111764706,0.019639935,0.005471956,0.170786517,0.185779817,0.078838174,0.067307692,0.108333333,0.115646259,0.147578348,0.428571429,0.135014837
itga2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BX927078.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT573446.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crhr1,0.001141553,0,0.009345794,0,0,0,0.019639935,0,0.002247191,0,0,0.003205128,0.0125,0.003401361,0.002849003,0,0
BX547992.1,0.001141553,0.003257329,0.009345794,0,0,0,0,0,0.002247191,0,0.002074689,0.003205128,0,0.006802721,0.002279202,0,0
cdc27,0.054794521,0.164495114,0.121495327,0.081967213,0.053921569,0.097058824,0.112929624,0.035567715,0.188764045,0.208715596,0.095435685,0.115384615,0.233333333,0.159863946,0.201709402,0.142857143,0.173590504
kansl1b,0.091324201,0.16286645,0.158878505,0.081967213,0.099019608,0.085294118,0.150572831,0.090287278,0.179775281,0.190366972,0.118257261,0.141025641,0.2125,0.217687075,0.247863248,0.214285714,0.173590504
maptb,0.015981735,0.008143322,0.009345794,0,0.002941176,0.014705882,0.451718494,0.113543092,0.002247191,0.002293578,0.008298755,0.176282051,0.004166667,0.003401361,0.005698006,0,0.002967359
myl4,0,0,0.009345794,0,0,0,0.009819967,0,0.006741573,0.002293578,0,0.022435897,0,0,0.010826211,0,0
scn4ab,0,0,0,0,0,0,0,0,0.002247191,0.004587156,0.002074689,0,0,0.003401361,0,0,0
gh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDM1,0,0.008143322,0.009345794,0,0,0.002941176,0,0,0.011235955,0.006880734,0,0,0.008333333,0.003401361,0.005698006,0,0.00148368
ifnphi3,0,0.006514658,0,0,0,0,0,0,0,0,0,0.003205128,0.008333333,0,0.000569801,0,0.004451039
ifnphi2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ifnphi1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arhgap27l,0.001141553,0,0.093457944,0,0.000980392,0.002941176,0.001636661,0,0,0.002293578,0.004149378,0.012820513,0.15,0.078231293,0.002279202,0.392857143,0.002967359
coa3b,0.047945205,0.102605863,0.056074766,0.098360656,0.045098039,0.079411765,0.093289689,0.038303694,0.092134831,0.172018349,0.060165975,0.083333333,0.175,0.159863946,0.117378917,0.071428571,0.090504451
wnk4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tanc2a,0.081050228,0.006514658,0.046728972,0,0.017647059,0.052941176,0.085106383,0.047879617,0.103370787,0.183486239,0.03526971,0.118589744,0.108333333,0.051020408,0.014814815,0.071428571,0.008902077
cyb561,0.005707763,0,0.009345794,0,0.000980392,0,0.008183306,0.002735978,0,0,0,0,0,0,0.000569801,0,0.00148368
hdac5,0.005707763,0.006514658,0.056074766,0.016393443,0.006862745,0.011764706,0.016366612,0.009575923,0.035955056,0.01146789,0.012448133,0.006410256,0.016666667,0.030612245,0.006837607,0.035714286,0.005934718
BX322574.1,0.003424658,0.006514658,0.009345794,0,0.000980392,0,0.008183306,0.001367989,0.004494382,0.009174312,0.002074689,0,0.020833333,0.010204082,0.004558405,0,0.008902077
lsm12a,0.175799087,0.372964169,0.38317757,0.295081967,0.173529412,0.347058824,0.25695581,0.177838577,0.51011236,0.559633028,0.323651452,0.298076923,0.520833333,0.513605442,0.467806268,0.392857143,0.360534125
si:ch211-237i5.4,0,0,0,0,0,0,0,0,0,0,0,0,0.008333333,0,0,0,0
nags,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4galnt2.2,0,0,0.009345794,0,0,0,0,0,0,0,0.002074689,0,0,0,0,0,0
b4galnt2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gngt2a,0,0,0,0,0,0,0.001636661,0,0,0.002293578,0.002074689,0.006410256,0,0,0.000569801,0,0
AL929222.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003401361,0,0,0
AL929222.2,0,0,0,0,0,0.023529412,0,0,0.002247191,0.002293578,0.002074689,0,0.045833333,0.006802721,0.000569801,0,0
col1a1a,0.00913242,0.016286645,0.065420561,0.081967213,0.018627451,0.797058824,0.009819967,0.010943912,0.276404494,0.027522936,0.238589212,0.022435897,0.429166667,0.221088435,0.018233618,0.035714286,0.019287834
ppp1r9ba,0.053652968,0.07980456,0.037383178,0.163934426,0.040196078,0.044117647,0.163666121,0.088919289,0.071910112,0.160550459,0.043568465,0.099358974,0.083333333,0.06122449,0.124786325,0.142857143,0.051928783
rapgefl1,0,0,0,0,0.000980392,0,0,0.001367989,0,0,0,0,0.008333333,0.006802721,0.001709402,0,0
casc3,0.148401826,0.270358306,0.186915888,0.278688525,0.140196078,0.152941176,0.168576105,0.132694938,0.359550562,0.378440367,0.199170124,0.147435897,0.2875,0.30952381,0.397720798,0.285714286,0.243323442
msl1a,0.00913242,0.009771987,0.028037383,0.016393443,0.021568627,0.023529412,0.004909984,0.002735978,0.051685393,0.02293578,0.020746888,0.025641026,0.045833333,0.037414966,0.044444444,0.071428571,0.022255193
si:dkey-225f5.5,0,0.003257329,0.009345794,0.016393443,0,0.002941176,0,0,0,0,0,0,0.004166667,0.003401361,0,0,0
nr1d1,0,0,0,0,0.000980392,0,0,0,0,0,0,0,0,0,0.000569801,0,0
BX682558.1,0.02283105,0.169381107,0.08411215,0.098360656,0.062745098,0.120588235,0.001636661,0.001367989,0.182022472,0.190366972,0.097510373,0.041666667,0.125,0.112244898,0.237606838,0.107142857,0.172106825
igf2bp1,0.480593607,0.941368078,0.710280374,0.836065574,0.682352941,0.714705882,0.522094926,0.337893297,0.961797753,0.970183486,0.695020747,0.641025641,0.883333333,0.945578231,0.973789174,0.928571429,0.959940653
ube2z,0.01826484,0.055374593,0.065420561,0.016393443,0.028431373,0.041176471,0.052373159,0.016415869,0.08988764,0.089449541,0.047717842,0.051282051,0.1625,0.057823129,0.074074074,0.071428571,0.047477745
atp5g1,0.440639269,0.71009772,0.635514019,0.475409836,0.471568627,0.694117647,0.744680851,0.458276334,0.75505618,0.713302752,0.736514523,0.685897436,0.720833333,0.68707483,0.671225071,0.642857143,0.738872404
eve1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoxb13a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoxb10a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000569801,0,0
hoxb9a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000569801,0,0
BX927395.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoxb8a,0.001141553,0,0,0,0,0,0.001636661,0.002735978,0.002247191,0,0.006224066,0.003205128,0,0.013605442,0,0,0.00148368
hoxb7a,0,0,0,0,0,0,0,0,0,0,0,0,0.004166667,0.010204082,0,0,0.00148368
hoxb3a,0.497716895,0.405537459,0.093457944,0.098360656,0.369607843,0.041176471,0.319148936,0.410396717,0.258426966,0.346330275,0.192946058,0.08974359,0.154166667,0.316326531,0.371509972,0.178571429,0.409495549
CR751227.2,0.003424658,0.008143322,0,0.016393443,0.005882353,0,0.001636661,0.001367989,0,0,0,0.003205128,0,0.003401361,0.002849003,0,0.011869436
hoxb6a,0.005707763,0,0,0,0,0,0.003273322,0.012311902,0.002247191,0.01146789,0.008298755,0.009615385,0.008333333,0.020408163,0.000569801,0,0
