Gene,Amacrine,Bipolar,Cone,Cornea,Horizontal,Muller Glia,RGC,Rod,RPE,Microglia
si:ch211-254n4.3,0.033838221,0.054377014,0.01183043,0.014725569,0.014274062,0.032921811,0.123515439,0.01594533,0.034431138,0.005882353
rhocb,0.053174347,0.013225027,0.061452514,0.157965194,0.018760196,0.181069959,0.050673001,0.009111617,0.247005988,0.352941176
mov10b.2,0,0,0,0,0,0,0,0,0,0
mov10b.1,0,0.000134264,0,0.001338688,0.00040783,0.000823045,0,0,0,0.047058824
wnt2bb,0.00257815,0.000134264,0.000328623,0.004016064,0,0,0.000791766,0,0.001497006,0.011764706
capza1b,0.254270061,0.112781955,0.283601709,0.329317269,0.153752039,0.32345679,0.42280285,0.107061503,0.305389222,0.7
cttnbp2nlb,0.077022237,0.016245972,0.02037463,0.066934404,0.208401305,0.044444444,0.045922407,0.013667426,0.248502994,0.005882353
kcnd3,0.083145343,0.03235768,0.007229708,0.017402945,0.013866232,0.021399177,0.18685669,0.011389522,0.04491018,0.011764706
BX664742.2,0,6.71E-05,0.000328623,0,0,0,0,0,0,0
ddx20,0.02094747,0.006780344,0.015445284,0.017402945,0.011011419,0.01399177,0.015043547,0.006833713,0.02245509,0.035294118
inka2,0.000644538,0.000469925,0.000328623,0,0,0,0,0,0,0
rap1aa,0.142765066,0.064983888,0.119290174,0.16064257,0.128058728,0.158847737,0.167854315,0.0523918,0.266467066,0.3
lmod1a,0.00257815,0.000604189,0.000657246,0.009370817,0.001223491,0,0.000791766,0,0.00748503,0.005882353
kdm5bb,0.224943603,0.10882116,0.142293789,0.108433735,0.119902121,0.143209877,0.26128266,0.102505695,0.143712575,0.211764706
tuba8l,0.022881083,0.037929646,0.046664476,0.47523427,0.096655791,0.182716049,0.033254157,0.022779043,0.363772455,0.641176471
KLHL12,0.017080245,0.007988722,0.015773907,0.016064257,0.014681892,0.009053498,0.035629454,0.004555809,0.02245509,0.011764706
adipor1b,0.065098292,0.031686359,0.088728229,0.041499331,0.034665579,0.065020576,0.114014252,0.022779043,0.121257485,0.117647059
klhl12,0.012246213,0.004162191,0.006572461,0.009370817,0.011011419,0.005761317,0.013460016,0.013667426,0.00748503,0.005882353
ptpn1,0.025459233,0.015440387,0.063752875,0.108433735,0.033849918,0.032921811,0.051464766,0.004555809,0.112275449,0.158823529
cebpb,0.009345794,0.007451665,0.041077884,0.295850067,0.01223491,0.254320988,0.055423595,0.009111617,0.273952096,0.705882353
tmem189,0.026103771,0.007048872,0.035491291,0.050870147,0.018760196,0.116872428,0.041963579,0.004555809,0.315868263,0.270588235
slc52a3,0.000966806,0.000671321,0.000328623,0.001338688,0.000815661,0.001646091,0.003167063,0,0.001497006,0
scrt2,0.353206574,0.185083244,0.060138022,0.037483266,0.194127243,0.098765432,0.501979414,0.095671982,0.067365269,0.023529412
srxn1,0.001611344,0.000402793,0.000657246,0.014725569,0.001223491,0.001646091,0.000791766,0,0.002994012,0
tcf15,0.008701257,0.000738453,0.001314492,0.001338688,0,0.004115226,0.013460016,0,0.001497006,0
CU639397.1,0.000322269,0,0,0.001338688,0,0.000823045,0,0,0,0.005882353
si:dkey-109a10.2,0,6.71E-05,0,0,0.00040783,0.002469136,0.000791766,0,0.001497006,0.041176471
mc3r,0.006767644,0.000402793,0,0,0,0,0.011876485,0,0,0
slc13a3,0.000644538,0.001611171,0.002628985,0.002677376,0.001631321,0.002469136,0.000791766,0.002277904,0.374251497,0
ocstamp,0,0.000201396,0.000985869,0,0,0,0.001583531,0,0.19011976,0.047058824
ccser1,0.011601676,0.003759398,0.012487677,0.005354752,0.003262643,0.009876543,0.019794141,0.022779043,0.013473054,0.005882353
grid2,0.064131486,0.059076262,0.018731515,0.009370817,0.014274062,0.027160494,0.09976247,0.022779043,0.016467066,0.005882353
