Gene,Crista.SCs_spec,HCs_spec,Macula.SCs_spec
si:dkeyp-68b7.12,0.994285714,1.0,0.994285714
SERP1,0.958095238,0.959016393,0.958095238
ebna1bp2,0.959016393,0.959016393,0.972063492
lrrc42,0.993650794,0.991304348,0.991304348
cdcp2,0.763809524,0.973913043,0.763809524
extl2,0.996190476,0.991304348,0.991304348
si:dkey-31m5.7,1.0,1.0,1.0
parla,0.899047619,0.956521739,0.899047619
mrpl37,0.973968254,0.982608696,0.973968254
tmem59,0.768888889,0.8524590160000001,0.768888889
si:ch211-241e1.3,0.998730159,1.0,0.998730159
zbtb41,0.823492063,0.926229508,0.823492063
AL935300.1,0.999365079,1.0,0.999365079
sh3glb1b,0.887619048,0.939130435,0.887619048
paxip1,0.947936508,0.982608696,0.947936508
ap2m1a,0.69968254,0.87826087,0.69968254
mb21d2,0.991111111,0.991304348,0.991111111
kiss1ra,0.983606557,0.983606557,0.984126984
arhgef4,0.68852459,0.573913043,0.573913043
yeats2,0.920634921,0.959016393,0.920634921
lrrc6,0.86031746,0.975409836,0.86031746
yeats2.1,0.991803279,0.991803279,0.993650794
glula,0.18032786899999997,0.130434783,0.130434783
slc12a7a,0.803278689,0.803278689,0.87826087
gpt2l,0.754098361,0.754098361,0.7913043479999999
SSBP4,0.41968254000000005,0.72173913,0.41968254000000005
ftr13,0.999365079,1.0,0.999365079
dnajc1,0.9295238100000001,0.959016393,0.9295238100000001
zgc:110366,0.959365079,0.982608696,0.959365079
ftr14,0.999365079,1.0,0.999365079
fgf12a,0.901639344,0.817391304,0.817391304
samd7,1.0,1.0,1.0
AL935300.2,0.999365079,0.991304348,0.991304348
map6d1,0.998095238,0.991304348,0.991304348
kif2c,1.0,1.0,1.0
kncn,0.827936508,0.983606557,0.827936508
TMEM275,0.994920635,1.0,0.994920635
ftr12.1,0.983606557,0.983606557,1.0
lpin2,0.7307936509999999,0.956521739,0.7307936509999999
kif1ab,0.78984127,0.975409836,0.78984127
sec62,0.857777778,0.885245902,0.857777778
BX323588.1,1.0,1.0,1.0
elovl1a,0.959016393,0.959016393,0.973913043
acsm3,0.983606557,0.982608696,0.982608696
htr5aa,1.0,1.0,1.0
cwc25,0.93442623,0.93442623,0.94984127
mau2,0.964444444,0.973913043,0.964444444
en2b,0.998730159,1.0,0.998730159
ssbp3a,0.916190476,0.965217391,0.916190476
c1ql3b.1,1.0,1.0,1.0
nck1a,0.950819672,0.950819672,0.982608696
tradv1,1.0,1.0,1.0
tradv2.0.1,1.0,1.0,1.0
rc3h1b,0.879365079,0.860869565,0.860869565
keap1a,0.812698413,0.885245902,0.812698413
ftr87,0.983606557,0.965217391,0.965217391
tradv3.0.1,1.0,1.0,1.0
tradv4.0.1,1.0,1.0,1.0
crema,0.680327869,0.680327869,0.686984127
cnpy1,0.942622951,0.942622951,0.952380952
CU927934.3,0.998730159,1.0,0.998730159
anxa13l,0.967213115,0.967213115,0.973913043
crlf1a,0.968253968,0.965217391,0.965217391
pter,0.983606557,0.983606557,0.995555556
rbm33b,0.999365079,1.0,0.999365079
pfkpb,0.610793651,0.87826087,0.610793651
u2surp,0.7307936509999999,0.778688525,0.7307936509999999
odf3l2a,0.944126984,0.991803279,0.944126984
si:ch211-106g8.62,1.0,1.0,1.0
slc35g2a,0.991803279,0.991803279,1.0
BX255896.1,0.983606557,0.983606557,0.996825397
ftr67,0.912380952,0.939130435,0.912380952
tradv4.0.2,1.0,1.0,1.0
tradv2.0.2,1.0,1.0,1.0
tradv3.0.3,1.0,1.0,1.0
ncapd2,0.993650794,1.0,0.993650794
sst2,1.0,1.0,1.0
si:ch1073-391i24.1,0.997460317,1.0,0.997460317
nadkb,0.963809524,1.0,0.963809524
BX120016.1,0.999365079,1.0,0.999365079
si:ch211-13f8.1,1.0,1.0,1.0
tradv4.0.3,1.0,1.0,1.0
CU927934.1,1.0,1.0,1.0
ebi3,1.0,1.0,1.0
si:dkey-29d8.3,0.975409836,0.973913043,0.973913043
emilin2a,0.999365079,0.991304348,0.991304348
CU927934.2,0.999365079,1.0,0.999365079
nyap2b,0.996825397,1.0,0.996825397
vipr1a,0.998730159,0.982608696,0.982608696
tradv3.0.4,1.0,1.0,1.0
slc4a2a,0.704918033,0.33913043499999995,0.33913043499999995
stk11,0.959365079,0.967213115,0.959365079
pard3ab,0.308571429,0.56557377,0.308571429
THEM6,0.844444444,0.967213115,0.844444444
si:ch211-13f8.2,0.997460317,0.973913043,0.973913043
tradv2.0.3,1.0,1.0,1.0
them6,0.993650794,0.991304348,0.991304348
tradv5.0.1,1.0,1.0,1.0
cacna1eb,0.996190476,1.0,0.996190476
mmp16b,0.998730159,1.0,0.998730159
tctex1d1,0.787301587,0.947826087,0.787301587
lrrc24,0.977777778,1.0,0.977777778
pccb,0.958730159,0.939130435,0.939130435
pigrl4.2,1.0,1.0,1.0
stag1a,0.83047619,0.869565217,0.83047619
tradv6.0.1,1.0,1.0,1.0
tradv7.0,1.0,1.0,1.0
tradv6.0.2,1.0,1.0,1.0
tradv6.0.3,1.0,1.0,1.0
si:dkey-97a13.6,0.998095238,1.0,0.998095238
espnlb,0.834285714,0.967213115,0.834285714
tradv6.0.4,1.0,1.0,1.0
chd8,0.916190476,0.939130435,0.916190476
zgc:153115,0.680327869,0.680327869,0.89968254
CR788285.1,0.996190476,1.0,0.996190476
kcnh2a,0.993015873,1.0,0.993015873
tradv2.0.4,1.0,1.0,1.0
ftr95,1.0,1.0,1.0
si:ch211-215e19.6,1.0,0.991304348,0.991304348
ptch2,0.918032787,0.918032787,0.973913043
cdc20,0.991803279,0.991803279,1.0
sgip1b,0.844444444,0.92173913,0.844444444
slc35d1b,0.964444444,0.947826087,0.947826087
si:dkeyp-106c3.3,0.999365079,1.0,0.999365079
tradv5.0.2,1.0,1.0,1.0
tradv8.0,1.0,1.0,1.0
si:ch211-106g8.20,1.0,1.0,1.0
si:ch211-215e19.4,1.0,1.0,1.0
BX510915.1,0.88952381,0.950819672,0.88952381
adcyap1b,0.96,1.0,0.96
si:ch211-106g8.56,1.0,1.0,1.0
si:dkeyp-106c3.2,1.0,1.0,1.0
tradv10.0.1,1.0,1.0,1.0
tradv11.0.1,1.0,1.0,1.0
clul1,1.0,1.0,1.0
clul1.1,0.950819672,0.913043478,0.913043478
ece2a,0.959016393,0.959016393,0.982608696
snorc,0.999365079,1.0,0.999365079
si:ch211-106g8.54,1.0,1.0,1.0
tradv10.0.2,1.0,1.0,1.0
