Gene,Late RPCs,Photoreceptor Precursor,RGC,Early RPCs,Amacrine,Muller Glia,Horizontal,Bipolar,Photoreceptor
kctd15a_tspan18b,0.002658487,0.003754693,0.017857143,0.001827318,0.06974981,0.002242152,0.006944444,0.002569373,0
dtnbp1b_tspan18b,0.000204499,0,0.017080745,0,0.021986353,0,0,0,0
prdm13_tspan18b,0.004192229,0.003754693,0.016304348,0.000152277,0.037149356,0,0.002314815,0.003083248,0
rims2a_tspan18b,0.000715746,0.005006258,0.031055901,0.000152277,0.050416983,0.002242152,0.00462963,0,0
kcnab1b_tspan18b,0.000204499,0,0.008540373,0.001370489,0.017437453,0,0,0.000513875,0
slc18a3a_tspan18b,0,0.001251564,0.013198758,0.000152277,0.035633055,0.002242152,0.002314815,0.001027749,0
chgb_dtnbp1a,0,0,0.001552795,0,0.03222138,0,0,0,0
chgb_lmo4b,0,0.002503129,0.005434783,0.000304553,0.050416983,0.002242152,0.00462963,0,0
chgb_gad2,0,0,0.005434783,0,0.043593632,0,0.002314815,0,0
chgb_kctd15a,0.000102249,0,0.00310559,0,0.013646702,0,0,0,0
chgb_dtnbp1b,0,0,0.004658385,0,0.027672479,0,0,0,0
chgb_prdm13,0,0,0.002329193,0,0.012888552,0,0.002314815,0,0
chgb_rims2a,0,0.001251564,0.00621118,0,0.051933283,0,0.002314815,0,0
chgb_kcnab1b,0,0,0,0,0.018953753,0,0.002314815,0,0
chgb_slc18a3a,0,0,0.002329193,0,0.041319181,0.002242152,0,0,0
dtnbp1a_lmo4b,0.005725971,0.005006258,0.051242236,0.024821075,0.097801365,0.002242152,0.034722222,0.008221994,0.003552398
dtnbp1a_gad2,0.001124744,0,0.036490683,0.000913659,0.095147839,0.002242152,0.034722222,0.000513875,0.001776199
dtnbp1a_kctd15a,0.001022495,0.001251564,0.016304348,0.002284148,0.040940106,0.002242152,0.018518519,0,0
dtnbp1a_dtnbp1b,0.000102249,0,0.016304348,0.000152277,0.045109932,0,0,0,0
dtnbp1a_prdm13,0.001124744,0.001251564,0.01242236,0,0.035633055,0,0.013888889,0.001027749,0
dtnbp1a_rims2a,0.000511247,0,0.033385093,0,0.077710387,0.002242152,0.016203704,0.001541624,0.001776199
dtnbp1a_kcnab1b,0.000204499,0.001251564,0.01552795,0.004111466,0.047384382,0.002242152,0.002314815,0,0
dtnbp1a_slc18a3a,0,0,0.016304348,0.000152277,0.044351782,0.002242152,0.009259259,0,0.001776199
gad2_lmo4b,0.006237219,0.002503129,0.062111801,0.000609106,0.161485974,0.006726457,0.076388889,0.004624872,0.005328597
kctd15a_lmo4b,0.003271984,0.002503129,0.028726708,0.004872849,0.092873389,0.002242152,0.053240741,0.002569373,0
dtnbp1b_lmo4b,0,0,0.027950311,0.000152277,0.06595906,0,0.00462963,0.000513875,0
lmo4b_prdm13,0.00398773,0.002503129,0.014751553,0.000152277,0.06444276,0.004484305,0.046296296,0.004110997,0.001776199
lmo4b_rims2a,0.001124744,0.003754693,0.062111801,0.000152277,0.103487491,0.002242152,0.039351852,0.005138746,0
kcnab1b_lmo4b,0.000613497,0.002503129,0.017857143,0.004263743,0.043593632,0,0.009259259,0.000513875,0
lmo4b_slc18a3a,0,0,0.025621118,0,0.041698256,0.002242152,0.018518519,0.001541624,0
gad2_kctd15a,0.001022495,0,0.030279503,0,0.077710387,0.002242152,0.032407407,0.001541624,0
dtnbp1b_gad2,0.000204499,0,0.024068323,0,0.084154663,0,0.006944444,0,0
