Gene,HCs,Macula.SCs,Crista.SCs
metap2b_si:dkey-102m7.3,0.002539683,0.008196721,0
dkc1_tspo,0.001269841,0,0
dkc1_rsl1d1,0,0,0
dkc1_wdr76,0,0,0
dkc1_eif6,0.008253968,0.016393443,0
dkc1_prdx6,0.002539683,0,0.008695652
dkc1_ebna1bp2,0.001904762,0.008196721,0
dkc1_si:ch211-217k17.7,0,0,0
cox17_dkc1,0.01015873,0,0
dkc1_nhp2,0.003174603,0.008196721,0
dkc1_prps1a,0.003174603,0.008196721,0
dkc1_fbl,0.002539683,0.008196721,0
dkc1_gnl3,0.000634921,0,0
dkc1_phb,0.002539683,0,0
dkc1_npm1a,0.001269841,0.016393443,0.008695652
dkc1_si:ch211-66k16.27,0.001269841,0,0
dkc1_rpl7l1,0,0,0.008695652
dkc1_gar1,0,0,0
dkc1_nip7,0.000634921,0,0
aldob_dkc1,0,0,0
dkc1_metap2b,0.005714286,0,0
rsl1d1_tspo,0.001269841,0,0
tspo_wdr76,0,0,0
eif6_tspo,0.004444444,0.008196721,0
prdx6_tspo,0.000634921,0,0
ebna1bp2_tspo,0,0,0
si:ch211-217k17.7_tspo,0,0,0
cox17_tspo,0.005079365,0,0
nhp2_tspo,0.000634921,0,0
prps1a_tspo,0.002539683,0,0
fbl_tspo,0.001269841,0,0
gnl3_tspo,0,0,0
phb_tspo,0.000634921,0,0
npm1a_tspo,0.000634921,0,0
si:ch211-66k16.27_tspo,0,0,0
rpl7l1_tspo,0,0,0
gar1_tspo,0,0,0
nip7_tspo,0.002539683,0,0
aldob_tspo,0,0,0
metap2b_tspo,0.000634921,0.008196721,0
rsl1d1_wdr76,0,0,0
eif6_rsl1d1,0.00952381,0,0
prdx6_rsl1d1,0.003174603,0,0
ebna1bp2_rsl1d1,0.001269841,0,0
rsl1d1_si:ch211-217k17.7,0.000634921,0,0
cox17_rsl1d1,0.003809524,0.008196721,0
nhp2_rsl1d1,0.001269841,0,0
prps1a_rsl1d1,0.003809524,0,0
fbl_rsl1d1,0.000634921,0,0
gnl3_rsl1d1,0.000634921,0.008196721,0
phb_rsl1d1,0.000634921,0.008196721,0
npm1a_rsl1d1,0,0,0
rsl1d1_si:ch211-66k16.27,0.000634921,0,0
rpl7l1_rsl1d1,0.000634921,0,0
