Gene,Crista.SCs,HCs,Macula.SCs,max,maxcol
pnp4b,0,0.000634921,0,0.000634921,HCs
cpvl,0.060869565,0.087619048,0.049180328,0.087619048,HCs
fam131bb,0.017391304,0.001904762,0,0.017391304,Crista.SCs
CR759845.1,0,0.003809524,0,0.003809524,HCs
mc5rb,0,0.000634921,0,0.000634921,HCs
lim2.5,0.008695652,0.000634921,0.016393443,0.016393443,Macula.SCs
fbxo32,0.034782609,0.158730159,0.032786885,0.158730159,HCs
fam210ab,0,0.008253968,0,0.008253968,HCs
mtbp,0.017391304,0.008253968,0.032786885,0.032786885,Macula.SCs
tfpt,0,0.026031746,0.008196721,0.026031746,HCs
si:ch211-271d10.2,0,0.000634921,0,0.000634921,HCs
si:dkey-199f5.7,0,0,0,0,Crista.SCs
vsig10l,0.043478261,0.000634921,0.040983607,0.043478261,Crista.SCs
ldlrad4b,0.069565217,0.183492063,0.073770492,0.183492063,HCs
clcn1b,0,0.003174603,0.008196721,0.008196721,Macula.SCs
si:dkey-199f5.6,0,0.001904762,0,0.001904762,HCs
sacm1lb,0.017391304,0.041904762,0.008196721,0.041904762,HCs
creb5b,0.330434783,0.2,0.31147541,0.330434783,Crista.SCs
rragca,0.008695652,0.026031746,0.032786885,0.032786885,Macula.SCs
s100a10b,0.008695652,0.007619048,0.032786885,0.032786885,Macula.SCs
ptpn3,0.052173913,0.006984127,0.114754098,0.114754098,Macula.SCs
cep192,0.043478261,0.071111111,0.057377049,0.071111111,HCs
slc25a40,0.052173913,0.027936508,0.016393443,0.052173913,Crista.SCs
s100w,0,0,0,0,Crista.SCs
epb41l4b,0.060869565,0.05015873,0.163934426,0.163934426,Macula.SCs
si:dkey-199f5.4,0,0,0,0,Crista.SCs
casp2,0.034782609,0.06984127,0.049180328,0.06984127,HCs
CR391910.3,0,0.000634921,0,0.000634921,HCs
BX537166.2,0,0.003174603,0.016393443,0.016393443,Macula.SCs
prelid3a,0,0.00952381,0,0.00952381,HCs
BX511161.1,0,0.000634921,0.016393443,0.016393443,Macula.SCs
mrpl51,0.026086957,0.016507937,0,0.026086957,Crista.SCs
ptk2ab,0.173913043,0.166984127,0.245901639,0.245901639,Macula.SCs
sv2a,0.008695652,0.062857143,0.008196721,0.062857143,HCs
etfb,0.034782609,0.057142857,0.032786885,0.057142857,HCs
jazf1b,0.060869565,0.013968254,0.040983607,0.060869565,Crista.SCs
grin2db,0.008695652,0.008888889,0.008196721,0.008888889,HCs
hint3,0,0.053968254,0.008196721,0.053968254,HCs
si:dkey-199f5.3,0,0,0,0,Crista.SCs
si:dkey-29b11.3,0,0.013968254,0,0.013968254,HCs
sntb1,0.304347826,0.017142857,0.270491803,0.304347826,Crista.SCs
m6pr,0.026086957,0.103492063,0.049180328,0.103492063,HCs
zgc:194418,0,0,0,0,Crista.SCs
pou3f1,0,0.001904762,0,0.001904762,HCs
icn,0.034782609,0.068571429,0.155737705,0.155737705,Macula.SCs
adam15,0.182608696,0.048888889,0.106557377,0.182608696,Crista.SCs
skap2,0.017391304,0.013333333,0.024590164,0.024590164,Macula.SCs
arnt,0.043478261,0.085079365,0.06557377,0.085079365,HCs
phc1,0.026086957,0.028571429,0.008196721,0.028571429,HCs
hoxa11b,0,0,0,0,Crista.SCs
CR392024.1,0,0.001269841,0,0.001269841,HCs
hoxa2b,0,0,0,0,Crista.SCs
scn1ba,0.034782609,0.050793651,0.008196721,0.050793651,HCs
tax1bp1b,0.191304348,0.40952381,0.303278689,0.40952381,HCs
si:dkey-29h14.10,0.008695652,0.020952381,0.008196721,0.020952381,HCs
hoxa10b,0,0,0,0,Crista.SCs
hoxa13b,0,0.000634921,0,0.000634921,HCs
icn2,0,0,0.008196721,0.008196721,Macula.SCs
dbf4,0,0.003174603,0,0.003174603,HCs
hibadhb,0.017391304,0.035555556,0.016393443,0.035555556,HCs
utp11,0.017391304,0.024761905,0.032786885,0.032786885,Macula.SCs
hoxa9b,0,0,0,0,Crista.SCs
hamp,0,0.000634921,0,0.000634921,HCs
flot1b,0.034782609,0.032380952,0,0.034782609,Crista.SCs
fhl3a,0.017391304,0.008253968,0,0.017391304,Crista.SCs
usp5,0.008695652,0.052698413,0.032786885,0.052698413,HCs
snx27b,0.052173913,0.115555556,0.139344262,0.139344262,Macula.SCs
pitpnc1b,0.052173913,0.005714286,0.081967213,0.081967213,Macula.SCs
mrs2,0.026086957,0.033015873,0.040983607,0.040983607,Macula.SCs
si:dkey-24i24.3,0,0.001904762,0,0.001904762,HCs
dcst2,0,0.003174603,0,0.003174603,HCs
bola1,0.017391304,0.027936508,0.008196721,0.027936508,HCs
dcst1,0,0.006349206,0,0.006349206,HCs
nr2f5,0.026086957,0.013333333,0.049180328,0.049180328,Macula.SCs
IGLON5,0.034782609,0.06031746,0.081967213,0.081967213,Macula.SCs
has2,0,0.001904762,0,0.001904762,HCs
trmt11,0.043478261,0.027301587,0.032786885,0.043478261,Crista.SCs
CT573793.2,0,0,0,0,Crista.SCs
CR854927.3,0,0.000634921,0,0.000634921,HCs
styk1b,0,0.005079365,0,0.005079365,HCs
CT573793.1,0,0,0,0,Crista.SCs
si:ch73-59c19.1,0.008695652,0.046984127,0.016393443,0.046984127,HCs
CT573793.3,0,0.001904762,0,0.001904762,HCs
rpz2,0.008695652,0.03047619,0.057377049,0.057377049,Macula.SCs
CU861453.1,0.008695652,0.036825397,0.024590164,0.036825397,HCs
rpz,0.008695652,0.024761905,0,0.024761905,HCs
si:dkeyp-69b9.3,0,0.005714286,0.016393443,0.016393443,Macula.SCs
rspo1,0,0,0,0,Crista.SCs
gramd1a,0.095652174,0.131428571,0.057377049,0.131428571,HCs
adar,0.034782609,0.226666667,0.081967213,0.226666667,HCs
adam22,0.034782609,0.048888889,0.032786885,0.048888889,HCs
s100v1,0,0.001904762,0,0.001904762,HCs
esrp1,0.060869565,0.137777778,0.032786885,0.137777778,HCs
entpd3,0.008695652,0.001269841,0,0.008695652,Crista.SCs
cldn12,0.060869565,0.033015873,0.06557377,0.06557377,Macula.SCs
gnl2,0.060869565,0.043809524,0.024590164,0.060869565,Crista.SCs
trim33l,0,0.000634921,0,0.000634921,HCs
dnali1,0,0.08952381,0.008196721,0.08952381,HCs
tbc1d31,0.034782609,0.008253968,0.016393443,0.034782609,Crista.SCs
rpz3,0.008695652,0.016507937,0.024590164,0.024590164,Macula.SCs
ankib1b,0.07826087,0.13968254,0.049180328,0.13968254,HCs
kcnn3,0.086956522,0.02031746,0.237704918,0.237704918,Macula.SCs
dync1i1,0.008695652,0.003809524,0,0.008695652,Crista.SCs
BX248082.2,0.026086957,0.041904762,0.008196721,0.041904762,HCs
rpz5,0.052173913,0.007619048,0.286885246,0.286885246,Macula.SCs
si:ch73-90p23.1,0,0.000634921,0,0.000634921,HCs
si:dkeyp-97a10.3,0.008695652,0.003174603,0.008196721,0.008695652,Crista.SCs
zgc:171704,0,0.000634921,0,0.000634921,HCs
si:dkeyp-97a10.1,0,0.002539683,0,0.002539683,HCs
si:ch211-195p4.4,0.017391304,0.050793651,0,0.050793651,HCs
BX072576.3,0,0.001269841,0,0.001269841,HCs
cenpw,0,0.006349206,0,0.006349206,HCs
rpz4,0.008695652,0.004444444,0.073770492,0.073770492,Macula.SCs
mettl6,0,0.019047619,0.024590164,0.024590164,Macula.SCs
rps27.2,0.226086957,0.422222222,0.319672131,0.422222222,HCs
rspo3,0.008695652,0.066031746,0.016393443,0.066031746,HCs
aldh5a1,0.017391304,0.026666667,0.024590164,0.026666667,HCs
ddc,0,0.000634921,0.016393443,0.016393443,Macula.SCs
rab13,0.052173913,0.001269841,0.016393443,0.052173913,Crista.SCs
plin6,0.017391304,0.024761905,0,0.024761905,HCs
si:dkeyp-97a10.2,0,0.001904762,0.008196721,0.008196721,Macula.SCs
si:dkey-7f3.9,0.008695652,0.000634921,0,0.008695652,Crista.SCs
gstk1,0.043478261,0.052698413,0.073770492,0.073770492,Macula.SCs
virma,0.034782609,0.068571429,0.040983607,0.068571429,HCs
gstk4,0,0,0,0,Crista.SCs
gstk4.1,0.026086957,0.006349206,0.016393443,0.026086957,Crista.SCs
ntd5,0.008695652,0.001269841,0,0.008695652,Crista.SCs
pycard,0,0.000634921,0,0.000634921,HCs
si:ch211-225p5.8,0,0,0,0,Crista.SCs
dbpb,0.173913043,0.181587302,0.06557377,0.181587302,HCs
ago1,0.052173913,0.038730159,0.024590164,0.052173913,Crista.SCs
syt11b,0,0.008888889,0,0.008888889,HCs
CR361564.1,0,0,0,0,Crista.SCs
cyp4t8,0.026086957,0.206349206,0.18852459,0.206349206,HCs
tubb5,0,0.003809524,0.016393443,0.016393443,Macula.SCs
grb10b,0.286956522,0.11047619,0.557377049,0.557377049,Macula.SCs
zgc:174935,0.026086957,0.046349206,0.032786885,0.046349206,HCs
BX571853.1,0,0.001269841,0,0.001269841,HCs
si:dkeyp-69b9.6,0.043478261,0.08,0.06557377,0.08,HCs
fabp11b,0,0,0,0,Crista.SCs
washc5,0.034782609,0.034920635,0.024590164,0.034920635,HCs
zfat,0.043478261,0.015873016,0.024590164,0.043478261,Crista.SCs
BX001026.1,0,0.004444444,0,0.004444444,HCs
snx10b,0,0.002539683,0,0.002539683,HCs
caspa,0,0.001904762,0,0.001904762,HCs
cbx3b,0.069565217,0.14031746,0.024590164,0.14031746,HCs
